"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1983;"Rudi-Sedlmayer-Halle";"France";"Guy Bonnet";"Vivre";1;8;8;;56;;"https://youtu.be/1uMFSRs2yHU?si=endJ-l0jSWj07qiW";"https://music.apple.com/gb/album/vivre-feat-nat-surel-eurovision-1983/1293451084?i=1293451890";"https://open.spotify.com/track/6G6Lj4fbS9obWHNdVAVNK8?si=f83111737a9e4445"
1984;"Théâtre Municipal";"France";"Annick Thoumazeau";"Autant d'amoureux que d'étoiles";3;8;8;;61;;"https://youtu.be/oxi8_KEGjuY?si=LYpW8slvWM0oprVu";;
1985;"Scandinavium";"France";"Roger Bens";"Femme dans ses rêves aussi";6;10;10;;56;;"https://youtu.be/X8xU7S-gI6o?si=Eqjudrwhs6iltLgs";"https://music.apple.com/gb/album/femme-dans-ses-reves-aussi/1470162982?i=1470163069";"https://open.spotify.com/track/1wlczVgzFWQ1fVcnTOs5ub?si=8e3f7d253d4e495b"
1986;"Grieghallen";"France";"Cocktail Chic";"Européennes";3;17;17;;13;;"https://youtu.be/5GFoORlUMzA?si=F9u1DZABI00o4Ijz";;
1987;"Palais de Centenaire";"France";"Christine Minier";"Les mots d'amour n'ont pas de dimanche";15;14;14;;44;;"https://youtu.be/sjJ9IQT8OYw?si=EDJYGLONgUhJaoUE";;
1988;"RDS Simmonscourt Pavilion";"France";"Gérard Lenorman";"Chanteur de charme";19;10;10;;64;;"https://youtu.be/APOGoGHDSes?si=cvIYrwhHe7bLFqbw";"https://music.apple.com/gb/album/chanteur-de-charme/1586305280?i=1586305602";"https://open.spotify.com/track/39T21TxsHvmRGotQhg4Blb?si=22373ecba9164bb1"
1989;"Palais de Beaulieu";"France";"Nathalie Pâque";"J'ai volé la vie";15;8;8;;60;;"https://youtu.be/f9rxnwHbg8A?si=qGamxXtfoSSqt4ZB";;
1990;"Koncertna Dvorana Vatroslav Lisinski";"France";"Joëlle Ursull";"White and Black Blues";14;2;2;;132;;"https://youtu.be/IPqSSLcefCs?si=CI6k-LnFVY8or5Cs";"https://music.apple.com/gb/album/white-and-black-blues/1530085019?i=1530085501";"https://open.spotify.com/track/3HhfRcXBX92mnDzXwKt7Bg?si=4b18c521bf964680"
1991;"Studio 15 di Cinecittà";"France";"Amina";"C'est le dernier qui a parlé qui a raison";9;1;1;;146;;"https://youtu.be/4ESL6deuhJM?si=WUg6EO0lsw9bvZ-U";;"https://open.spotify.com/track/17NDMEcgy7MthcvQfSjDUj?si=0f484d6fcc20497a"
1992;"Malmö Isstadion";"France";"Kali";"Monté la riviè";6;8;8;;73;;"https://youtu.be/s0YV3RvzWwo?si=aBheQgw_r3DXif1g";"https://music.apple.com/gb/album/mont%C3%A9-la-rivi%C3%A8/265529590?i=265529599";"https://open.spotify.com/track/7yUmWJiOOkt58GKDaAZh6T?si=82f5368e8a044d61"
1993;"Green Glens Arena";"France";"Patrick Fiori";"Mama Corsica";12;4;4;;121;;"https://youtu.be/fseF8OrrlMY?si=YCekSTO69Ud8fBb_";;
1994;"Point Theatre";"France";"Nina Morato";"Je suis un vrai garçon";25;7;7;;74;;"https://youtu.be/OxITRR12EMc?si=9cmjN4JB97EryerA";;
1995;"Point Theatre";"France";"Nathalie Santamaria";"Il me donne rendez-vous";12;4;4;;94;;"https://youtu.be/1v-0pJ3Cqjc?si=HqvZ9hE6QGYKd_wQ";;
1996;"Oslo Spektrum";"France";"Dan Ar Braz and l'Héritage des Celtes";"Diwanit bugale";13;19;19;;18;;"https://youtu.be/vZ1bxRg_080?si=_kCzvmY-ZjGnkwJB";"https://music.apple.com/gb/album/diwanit-bugale/278665532?i=278665816";"https://open.spotify.com/track/41Jk37ReRzOzR8KwaODmEX?si=499748d6d5a246af"
1997;"Point Theatre";"France";"Fanny";"Sentiments songes";22;7;4;16;90;5;"https://youtu.be/quWb2KME_fw?si=Q-HYRvUo3ejj0NdU";;
1998;"National Indoor Arena";"France";"Marie Line";"Où aller";3;24;19;23;0;3;"https://youtu.be/LD_jRP2R2Vo?si=VHPabmN4V_rRxhPP";;
1999;"International Convention Center";"France";"Nayah";"Je veux donner ma voix";10;19;15;19;6;8;"https://youtu.be/NFC_iDXYIdU?si=SWnsZLtk7mMBb233";"https://music.apple.com/gb/album/je-veux-donner-ma-voix-eurovision-1999-france/536801023?i=536801025";"https://open.spotify.com/track/6Pj2g4QOtfm7ET6NN4tmLg?si=2e2915c822be42ce"
2000;"Globe Arena";"France";"Sofia Mestari";"On aura le ciel";5;23;20;23;5;0;"https://youtu.be/S8IManetyHk?si=JxzXHZ87XVdCpVBR";;
2001;"Parken Stadium";"France";"Natasha St-Pier";"Je n'ai que mon âme";14;4;2;4;30;112;"https://youtu.be/L0OipASctkY?si=a59aN4JigdsL_Or1";"https://music.apple.com/gb/album/je-nai-que-mon-%C3%A2me/207129085?i=207129185";"https://open.spotify.com/track/10p0nLnAzyyVr4YWxaSerl?si=7f5010e76a39473b"
2002;"Saku Suurhall";"France";"Sandrine François";"Il faut du temps";17;4;7;3;28;76;"https://youtu.be/m_Abg3Tv8so?si=C0p8liocDKwmO7yt";"https://music.apple.com/gb/album/il-faut-du-temps/255634624?i=255635003";"https://open.spotify.com/track/28DzBSQCxapGNn6bDqrgms?si=70a9b7850b79450d"
2003;"Skonto Olympic Hall";"France";"Louisa Baïleche";"Monts et merveilles";19;18;9;20;8;11;"https://youtu.be/nV5fdAgs_I8?si=djLV3fm3uki9XbK0";;
2004;"Abdi İpekçi Arena";"France";"Jonatan Cerrada";"À chaque pas";4;15;;15;;40;"https://youtu.be/vrzC1oGWX_I?si=6oijPQGAjzmGOQLG";"https://music.apple.com/gb/music-video/%C3%A0-chaque-pas/327605111";
2005;"Palace of Sports";"France";"Ortal";"Chacun pense à soi";24;23;14;23;5;6;"https://youtu.be/1qVzlYOdhdM?si=yJ9jYo3TdnfPaytr";;
