"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1990;"Koncertna Dvorana Vatroslav Lisinski";"Sweden";"Edin-Ådahl";"Som en vind";18;15;15;;24;;"https://youtu.be/-QW4FQFLYSE?si=nVy0IrWEfBQA4YpW";"https://music.apple.com/gb/album/som-en-vind/1612451652?i=1612458160";"https://open.spotify.com/track/6C4gFaoqH9IxmEJr4Rt9UC?si=dde6a1718447404d"
1991;"Studio 15 di Cinecittà";"Sweden";"Carola";"Fångad av en stormvind";8;1;1;;146;;"https://youtu.be/4Ml6pJqc_bw?si=fNNnrshpYkt_nuuB";"https://music.apple.com/gb/album/f%C3%A5ngad-av-en-stormvind-swedish-version/355675701?i=355675769";"https://open.spotify.com/track/5I6eq9wK0SOkeUWEPHqD39?si=16168180aab648f4"
1992;"Malmö Isstadion";"Sweden";"Christer Björkman";"I morgon är en annan dag";7;22;22;;9;;"https://youtu.be/gJ_SmRdwlOY?si=HPBykrLPvD0HtheN";"https://music.apple.com/gb/album/i-morgon-%C3%A4r-en-annan-dag/1105146425?i=1105146891";"https://open.spotify.com/track/7DqyeESnaKCwDjgmA45UFZ?si=188c949c448146bd"
1993;"Green Glens Arena";"Sweden";"Arvingarna";"Eloise";13;7;7;;89;;"https://youtu.be/KD4gdEHtS-E?si=2nDjbfFFr6vA5pcl";"https://music.apple.com/gb/album/eloise/986766996?i=986766998";"https://open.spotify.com/track/5Ws6u3a6SibPmJazXdEAHB?si=04772068424d4f5f"
1994;"Point Theatre";"Sweden";"Marie Bergman and Roger Pontare";"Stjärnorna";1;13;13;;48;;"https://youtu.be/8nM8vPTh_S0?si=WiIo4eQB3Bp3XcXt";"https://music.apple.com/gb/album/stj%C3%A4rnorna/272801653?i=272801683";"https://open.spotify.com/track/6fWEH1PKHpFi6OeH4SlM4o?si=f1c14b907de149ec"
1995;"Point Theatre";"Sweden";"Jan Johansen";"Se på mej";18;3;3;;100;;"https://youtu.be/yyQ1k0KIDDk?si=hEgh1YHi2DFjBY-v";"https://music.apple.com/gb/album/se-pa-mig/329606569?i=329606605";"https://open.spotify.com/track/5E0DPn2m1oAigfof05lKmJ?si=9a505b6e1c27406a"
1996;"Oslo Spektrum";"Sweden";"One More Time";"Den vilda";23;3;3;;100;;"https://youtu.be/Evn1biXeDJ8?si=vmwYgRXT8jaJaUSQ";"https://music.apple.com/gb/album/den-vilda/312987181?i=312987513";"https://open.spotify.com/track/0TYwFP4MxszHAXAJMYhi3E?si=451bf322f0d94cb1"
1997;"Point Theatre";"Sweden";"Blond";"Bara hon älskar mig";16;13;13;11;29;7;"https://youtu.be/hyZQpHvOAzo?si=qbnmTB50EuncVH_d";"https://music.apple.com/gb/album/bara-hon-%C3%A4lskar-mig/494929299?i=494929750";"https://open.spotify.com/track/5dEHUYf0NkT1pZeEJOCMsW?si=fb4b3cf96342495a"
1998;"National Indoor Arena";"Sweden";"Jill Johnson";"Kärleken är";19;9;6;8;10;43;"https://youtu.be/aGBU1IGC17s?si=HTeTEJDGKgjf-iNR";"https://music.apple.com/gb/album/k%C3%A4rleken-%C3%A4r/379903502?i=379903505";"https://open.spotify.com/track/3JhvBSXoWXJnKGzCmPlaxV?si=e5d21a58a579453b"
1999;"International Convention Center";"Sweden";"Charlotte Nilsson";"Take Me to Your Heaven";15;1;3;1;26;137;"https://youtu.be/EpdLN9bbdVw?si=_rcboiGbxso-Vtiu";"https://music.apple.com/gb/album/take-me-to-your-heaven/1435495325?i=1435495945";"https://open.spotify.com/track/4omWhsNIPxarzpBgMsWBmB?si=2d437cea3a154b20"
2000;"Globe Arena";"Sweden";"Roger Pontare";"When Spirits Are Calling My Name";18;7;6;7;18;70;"https://youtu.be/fELp2fPI8wI?si=UiZIw9ZOusZoQZYl";"https://music.apple.com/gb/album/when-spirits-are-calling-my-name/282019581?i=282019585";"https://open.spotify.com/track/27L4okgASeyUAzZ7etleyQ?si=e7ef039f22f946f6"
2001;"Parken Stadium";"Sweden";"Friends";"Listen to Your Heartbeat";7;5;5;5;19;81;"https://youtu.be/xR4BFQYFzMU?si=o8h8A1lk9cj8eQQl";"https://music.apple.com/gb/album/listen-of-your-heartbeat/276487022?i=276487185";"https://open.spotify.com/track/4tLsZwIvw2kAzJm58ozxJP?si=4846ac278da54789"
2002;"Saku Suurhall";"Sweden";"Afro-dite";"Never Let It Go";12;6;6;7;29;43;"https://youtu.be/bbWBSpf-7Eo?si=i3MczObh76F09MKK";"https://music.apple.com/gb/album/never-let-it-go/204689498?i=204689584";"https://open.spotify.com/track/28ihA2Fp5zRmcmi8hpfWiC?si=b4a8a979746b4fb6"
2003;"Skonto Olympic Hall";"Sweden";"Fame";"Give Me Your Love";25;5;15;5;1;106;"https://youtu.be/R5-xAgdBsuw?si=nZ_pxz7m-yZE2ujQ";"https://music.apple.com/gb/album/give-me-your-love/204688957?i=204689030";"https://open.spotify.com/track/2B60fzEh2F9Ds6xFtV8LWd?si=eac9008a329743dd"
2004;"Abdi İpekçi Arena";"Sweden";"Lena Philipsson";"It Hurts";24;5;;5;;170;"https://youtu.be/na2qDYmm7LM?si=1TQ7h0LxcvNa9mpr";"https://music.apple.com/gb/album/it-hurts/298251494?i=298251530";"https://open.spotify.com/track/6GsfMZzKZaUXlhDkZRuLe9?si=adfb12f59f2642d0"
2005;"Palace of Sports";"Sweden";"Martin Stenmarck";"Las Vegas";14;18;8;17;8;22;"https://youtu.be/YbZjSdSNCiw?si=KIT8n3ekLgFijxM7";"https://music.apple.com/gb/album/las-vegas/1442523491?i=1442523495";
2006;"Olympic Indoor Hall";"Sweden";"Carola";"Invincible";22;5;2;5;15;155;"https://youtu.be/vFu5y0nP-RQ?si=atUgTrDQRMm3FE4o";"https://music.apple.com/gb/album/invincible/1445144022?i=1445144039";"https://open.spotify.com/track/7qiLJOwnscYx627KsM1bFz?si=f0330be052534522"
2007;"Hartwall Arena";"Sweden";"The Ark";"The Worrying Kind";12;18;10;17;2;49;"https://youtu.be/r02Lg8JIco0?si=4IQbJCX6aYWllXcc";"https://music.apple.com/gb/album/the-worrying-kind/667416447?i=667418737";"https://open.spotify.com/track/5zIxRPGxiOBNRDBu2Upk4i?si=e47b6faea0c3478c"
2008;"Belgrade Arena";"Sweden";"Charlotte Perrelli";"Hero";15;16;11;16;0;47;"https://youtu.be/x_iSoluR53U?si=cmULKYMuzhovm9Zi";"https://music.apple.com/gb/album/hero/1442310791?i=1442311006";"https://open.spotify.com/track/5thbBlXWqYroVWot4a5LlN?si=5c21fcaa05814115"
2009;"Olimpiysky Arena";"Sweden";"Malena Ernman";"La Voix";4;22;20;15;27;59;"https://youtu.be/xE9Pl3mqRbo?si=MXDTnaZ8ctjcRBGW";"https://music.apple.com/gb/album/la-voix/712305628?i=712306106";"https://open.spotify.com/track/7Kz4f9CgtAfbmPBMX5q2ZV?si=4c16d21c328f4044"
2010;"Telenor Arena";"Sweden";"Anna Bergendahl";"This Is My Life";;;;;;;"https://youtu.be/hNk6CZ77ags?si=0B08WiqOicK-7VVI";"https://music.apple.com/gb/album/this-is-my-life/1444015374?i=1444015379";"https://open.spotify.com/track/4fnqZBZtIl2xNPrpP8Fix2?si=d257c5e095ef426d"
2011;"Düsseldorf Arena";"Sweden";"Eric Saade";"Popular";7;3;9;2;106;221;"https://youtu.be/-04pUETT7oI?si=caefhOw_gCacfir_";"https://music.apple.com/gb/album/popular/848238997?i=848239050";"https://open.spotify.com/track/1InDX4MkJT1lnaliydPYWz?si=a00759c4c8804f62"
2012;"Baku Crystal Hall";"Sweden";"Loreen";"Euphoria";17;1;1;1;296;343;"https://youtu.be/Pfo-8z86x80?si=xzsqgnIY1R19rIcI";"https://music.apple.com/gb/album/euphoria-single-version/510071820?i=510071942";"https://open.spotify.com/track/2knr7ikPt4l7bk92qS4ZXW?si=487ed0666f9a4033"
