"year","venue","countryname","artist","song","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
1988,"RDS Simmonscourt Pavilion","Greece","Afroditi Fryda","Clown",14,16,16,NULL,10,NULL,"https://youtu.be/H2HpvHVWJGg?si=fSn0agt04voAW5Q-",NULL,NULL
1989,"Palais de Beaulieu","Greece","Marianna","To diko sou asteri",19,9,9,NULL,56,NULL,"https://youtu.be/2qTBzFBOdBU?si=FpZ-l2EAw2CNQ-cR",NULL,NULL
1990,"Koncertna Dvorana Vatroslav Lisinski","Greece","Christos Callow","Horis skopo",2,18,18,NULL,11,NULL,"https://youtu.be/_vN1T49wYg8?si=rqwWxiEKCoRfHLO6",NULL,NULL
1991,"Studio 15 di Cinecittà","Greece","Sophia Vossou","Anixi",4,11,11,NULL,36,NULL,"https://youtu.be/PyjC9NWoeXk?si=fMBBmq2c7birb_TQ","https://music.apple.com/gb/album/anixi/408171971?i=408172003","https://open.spotify.com/track/4HibdCR6fMsbX9GFtiN3og?si=38e194d0b46041fb"
1992,"Malmö Isstadion","Greece","Cleopatra","Olou tou kosmou i elpida",5,5,5,NULL,94,NULL,"https://youtu.be/nr1eFZVXAeE?si=mOzBzJGr96Rza3Rk","https://music.apple.com/gb/album/olou-tou-kosmou-i-elpida/715759976?i=715760228","https://open.spotify.com/track/2Qdpk0IJ7qi0UGbAfCeTxG?si=8f6528cb58644ece"
1993,"Green Glens Arena","Greece","Katerina Garbi","Ellada, hora tou fotos",6,9,9,NULL,64,NULL,"https://youtu.be/0aKWP2vs26M?si=UV6fNPdxa-ZitYXm","https://music.apple.com/gb/album/ellada-hora-tou-fotos/459513730?i=459513765","https://open.spotify.com/track/1LdcPlnSrcFVH7BLZK2bZe?si=86fab583ff1b47e1"
1994,"Point Theatre","Greece","Kostas Bigalis and the Sea Lovers","To trehandiri (Diri Diri)",19,14,14,NULL,44,NULL,"https://youtu.be/0lpwU9-2Y6Y?si=kBdxeEIglmDIDy1u","https://music.apple.com/gb/album/to-trehantiri/1496335575?i=1496335651","https://open.spotify.com/track/4vUlYrhHCeeE6PWcJTWKMz?si=ff14b001e4b04bc1"
1995,"Point Theatre","Greece","Elina Konstantopoulou","Pia prosefhi",23,11,11,NULL,68,NULL,"https://youtu.be/SrTLEZZEChw?si=pV2pUX_bhwr8_ily",NULL,NULL
1996,"Oslo Spektrum","Greece","Marianna Efstratiou","Emis forame to himona anixiatika",10,13,13,NULL,36,NULL,"https://youtu.be/uBqXbubScaI?si=pS-CvoPd5Lx5vgqP",NULL,NULL
1997,"Point Theatre","Greece","Marianna Zorba","Horepse",17,12,11,13,39,0,"https://youtu.be/JE7z2PhlKNE?si=II0_0aj9okyYNE1Q","https://music.apple.com/gb/album/horepse/503484705?i=503484863","https://open.spotify.com/track/1apgG2i2HPhQNQN4GZEKpL?si=da9afac6aa7642e8"
1998,"National Indoor Arena","Greece","Thalassa","Mia krifi evaisthisia",2,18,14,16,0,12,"https://youtu.be/SAoLC9MCQcw?si=DxHowL7DbjKdxywS",NULL,NULL
2001,"Parken Stadium","Greece","Antique","Die for You",22,3,4,3,24,123,"https://youtu.be/H9z-Im59asU?si=f_gtoqtByzUspBxg","https://music.apple.com/gb/album/i-would-die-for-you/375834795?i=375834808","https://open.spotify.com/track/2byZAXWOqDx3w8suK3btui?si=cfd96c41561f4184"
2002,"Saku Suurhall","Greece","Michalis Rakintzis","S.A.G.A.P.O.",4,13,9,19,21,6,"https://youtu.be/m78_J5riBMk?si=r9POf_cRl5sfpS9b","https://music.apple.com/gb/album/s-a-g-a-p-o/1380507367?i=1380507368","https://open.spotify.com/track/45YHqT20aCmZaXbylQ1a0z?si=4c4c3b79a2de49eb"
2003,"Skonto Olympic Hall","Greece","Mando","Never Let You Go",17,15,14,15,2,23,"https://youtu.be/aI_BRO5Np8U?si=Tco5CCcYMlY-YgzK","https://music.apple.com/gb/album/never-let-you-go-euro/992442816?i=992442825","https://open.spotify.com/track/5Vdm4sjMkiKjXEmegFJiC2?si=1d7ca27414ed4662"
2004,"Abdi İpekçi Arena","Greece","Sakis Rouvas","Shake It",16,3,NULL,3,NULL,252,"https://youtu.be/asZwDUTEXls?si=LuL_aSYVte25tuMR","https://music.apple.com/gb/album/shake-it-eurovision-version/724063524?i=724063568","https://open.spotify.com/track/5RrXg6BoujSLhC4UHYdtm6?si=8922ffd096094bef"
2005,"Palace of Sports","Greece","Helena Paparizou","My Number One",19,1,8,1,8,210,"https://youtu.be/rcOwvZ26KFQ?si=yzcTeDQE3IHInLZI","https://music.apple.com/gb/album/my-number-one/256267079?i=256267188","https://open.spotify.com/track/6LkCvCc9oFoLDv4DLhzTox?si=3cfc41a59f4545d3"
2006,"Olympic Indoor Hall","Greece","Anna Vissi","Everything",16,9,4,8,8,120,"https://youtu.be/EJDqzQ_GlW0?si=ga8OKhtLRjFOe3_S","https://music.apple.com/gb/album/everything/261203227?i=261203229","https://open.spotify.com/track/6RIt1anpTUmmhm4sgfhGsI?si=689d219a900d4803"
2007,"Hartwall Arena","Greece","Sarbel","Yassou Maria",10,7,5,8,7,132,"https://youtu.be/LebXvZtRMrE?si=dB45Uifw4kdyT5BI","https://music.apple.com/gb/album/yassou-maria/256266722?i=256266768","https://open.spotify.com/track/0MnEMgc0QNteB3ExmvJDZJ?si=6bae71ecb83b47de"
2008,"Belgrade Arena","Greece","Kalomira","Secret Combination",21,3,1,3,12,206,"https://youtu.be/4HIk_7ZTBkM?si=XNgkfD2OeRded0gp","https://music.apple.com/gb/album/secret-combination/1607646575?i=1607646726","https://open.spotify.com/track/77GONOsb3Fg7uaLWttx55j?si=e718180385444ae1"
