"TableName";"id";"country";"artist";"song";"countryId";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
"1960";2;"Belgium";"Fud Leclerc";"Mon amour pour toi";1;5;5;5;;;9;9;;;"https://youtu.be/byD35ZhNeI8?si=7GB9SBcUtRhp1lAp";;"https://open.spotify.com/track/2U0k7sc8lCBaFVmFkzhevp?si=3a7a169461264eeb"
"1960";3;"Denmark";"Katy Bødtger";"Det var en yndig tid";9;4;8;8;;;4;4;;;"https://youtu.be/LCixvefxOAc?si=DOM-pjCihJUqxYjG";"https://music.apple.com/gb/album/det-var-en-yndig-tid/440260601?i=440260604";"https://open.spotify.com/track/490Aq1ZHViIPWSsCJG6MAc?si=6c731391e9b445c5"
"1960";4;"France";"Jacqueline Boyer";"Tom Pillibi";2;13;1;1;;;32;32;;;"https://youtu.be/Cesfh_Otp_o?si=juBzixmbAaN5WX1v";"https://music.apple.com/gb/album/tom-pillibi/1145419391?i=1145419639";"https://open.spotify.com/track/3fZIQ0sdsy7u7YDmOpqbxS?si=f4b18e31b38041c5"
"1960";5;"Germany";"Wyn Hoop";"Bonne nuit ma chérie";3;11;4;4;;;11;11;;;"https://youtu.be/5MzOUfAl_lw?si=2YZkk7RRbsfkF1AS";;"https://open.spotify.com/track/7JVj2i6ksSGlvoLz4LAyEu?si=38a9dead29614f67"
"1960";6;"Italy";"Renato Rascel";"Romantica";4;12;7;7;;;5;5;;;"https://youtu.be/v09rRFppOzk?si=nI1lv7nZ3k2A5bPe";"https://music.apple.com/gb/album/romantica/875694734?i=875694735";"https://open.spotify.com/track/1dPhTnjWdaZHRA5dGzFasj?si=8295f708a55441f7"
"1960";7;"Luxembourg";"Camillo Felgen";"So laang we's du do bast";5;3;10;10;;;1;1;;;"https://youtu.be/csoaoaVg_I8?si=n4LbpjiFbvDjo4iu";;"https://open.spotify.com/track/2b8igdRH1x6lIjJd4IUGE7?si=abf0edd858f5443b"
"1960";8;"Monaco";"François Deguelt";"Ce soir-là";12;8;3;3;;;15;15;;;"https://youtu.be/AMi5qpBbSVw?si=G5RC3OmOUpZQMrgu";"https://music.apple.com/gb/album/ce-soir-l%C3%A0-remasteris%C3%A9-en-2019/1471669897?i=1471669912";"https://open.spotify.com/track/2FHdxkG6hZrYoBjasGJx9R?si=877bbba515c6476c"
"1960";9;"Netherlands";"Rudi Carrell";"Wat een geluk";6;10;9;9;;;2;2;;;"https://youtu.be/eLx8spP9XwE?si=hvywbecCKEP85TBo";"https://music.apple.com/gb/album/wat-een-geluk/631134643?i=631136187";"https://open.spotify.com/track/5sGXjyFzCaXVr3hveCpq2O?si=bdb3331dd05043eb"
"1960";10;"Norway";"Nora Brockstedt";"Voi-voi";13;6;4;4;;;11;11;;;"https://youtu.be/q70CwO8TI6s?si=E5no0iCX9r9Dc7_S";"https://music.apple.com/gb/album/voi-voi/965887666?i=965887836";"https://open.spotify.com/track/7h10Yr54xAEdnM19GBbtcz?si=a382691fa4f44f8c"
"1960";11;"Sweden";"Siw Malmkvist";"Alla andra får varann";11;2;8;8;;;4;4;;;"https://youtu.be/Vb8o-fBkXnA?si=lmK9_-dAINPMoQ-A";;
