"sourceTable";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
"2012";"Soluna Samay";"Should've Known Better";15;22;18;22;4;69;51;18;33;;;
"2013";"Emmelie de Forest";"Only Teardrops";18;1;;;;;;;;;;
"2014";"Basim";"Cliche Love Song";23;14;10;13;3;128;85;43;42;;;
"2015";"Anti Social Media";"The Way You Are";;;;;;;;;;;;
"2016";"Lighthouse X";"Soldiers of Love";;;;;;;;;;;;
"2017";"Anja";"Where I Am";10;19;13;20;7;77;69;8;61;;;
"2018";"Rasmussen";"Higher Ground";15;19;19;12;7;113;38;75;37;;;
"2019";"Leonora";"Love Is Forever";6;12;12;15;3;120;69;51;18;"https://youtu.be/mucmvTLHJQM?si=xdf6fG2VM34oJol0";"https://music.apple.com/gb/album/love-is-forever/1451483859?i=1451483863";"https://open.spotify.com/track/43k9g3vEP8z0qgkoyHjWV3?si=f0df1e4b56a7499c"
"2020";"Ben and Tan";"Yes";;;;;;;;;;"https://youtu.be/XQ5tMhQIp1E?si=9qFapncpUCOREd74";"https://music.apple.com/gb/album/yes/1496365470?i=1496366828";"https://open.spotify.com/track/1nAvS4GbkxR7iISU5ZfLPf?si=d387352071054eeb"
"2021";"Fyr og Flamme";"Øve os på hinanden";;;;;;;;;;"https://youtu.be/w2ytONrRyww?si=lSGIukZpjwTCawLO";"https://music.apple.com/gb/album/%C3%B8ve-os-p%C3%A5-hinanden/1550948574?i=1550948704";"https://open.spotify.com/track/5KLDajsSLvA5n2zTwKycvF?si=1962260d884047fa"
"2022";"Reddi";"The Show";;;;;;;;;;"https://youtu.be/cVg6MpVR2Pw?si=gNECw9qqfQOtvm-n";"https://music.apple.com/gb/album/the-show/1608000761?i=1608000763";"https://open.spotify.com/track/68UTfPKNrG4L9zKYcnD8fQ?si=70afff45ad894342"
"2023";"Reiley";"Breaking My Heart";;;;;;;;;;"https://youtu.be/XVZvzZF1JOk?si=QZwh3SehrlrMwgLZ";"https://music.apple.com/gb/album/breaking-my-heart/1660298661?i=1660298675";"https://open.spotify.com/track/0Bz7sidJkrYTnEQoYSxU0C?si=69479eecf9b34846"
"2024";"Saba";"Sand";;;;;;;;;;"https://youtu.be/3pCtdFnv9eQ?si=QpphvvhjT4J3DK3q";"https://music.apple.com/gb/album/sand/1724984339?i=1724984353";"https://open.spotify.com/track/79feeOJI7Rk8xwDdrOFsDO?si=0df2ce64a174461f"
