"year";"venue_name";"country_name";"artist_name";"song_name";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1995;"Point Theatre";"Belgium";"Frédéric Etherlinck";"La voix est libre";14;20;20;;8;;"https://youtu.be/YtcH83cV2Dg?si=VcUvm29iyIxCLbkN";;
1996;"Oslo Spektrum";"Belgium";"Lisa del Bo";"Liefde is een kaartspel";16;16;16;;22;;"https://youtu.be/jOVmUCfwTBk?si=VtUqfJSfUd4Fr2Fz";"https://music.apple.com/gb/album/liefde-is-een-kaartspel/1562207442?i=1562207464";"https://open.spotify.com/track/1oJrSCuXifNT40tXY9zwr6?si=bb790b4d89fc4588"
1998;"National Indoor Arena";"Belgium";"Mélanie Cohl";"Dis oui";20;5;12;5;4;118;"https://youtu.be/RKTyJWnnHVU?si=os_4tiSulFKhzAhx";;
1999;"International Convention Center";"Belgium";"Vanessa Chinitor";"Like the Wind";2;12;10;12;10;28;"https://youtu.be/VlQhQN5joNA?si=jXzb5WezCCHelXZ6";"https://music.apple.com/gb/album/like-the-wind/1574957590?i=1574957598";"https://open.spotify.com/track/5JyGXQzARMUB9TMR4ogvyg?si=d92f78999dfb4b82"
2000;"Globe Arena";"Belgium";"Nathalie Sorce";"Envie de vivre";10;24;23;23;2;0;"https://youtu.be/86yZbvPuApw?si=fPMkQVsIquAGjFKM";"https://music.apple.com/gb/album/envie-de-vivre/1566115421?i=1566115422";"https://open.spotify.com/track/2XHnopWoeW7fcFzGb776Ct?si=f6fd42251e9a4ec6"
2002;"Saku Suurhall";"Belgium";"Sergio and the Ladies";"Sister";16;12;11;15;19;14;"https://youtu.be/eOTyfceOwAw?si=cFBINOeyNsSJKlou";"https://music.apple.com/gb/album/sister/1514680046?i=1514680360";"https://open.spotify.com/track/2JekX7Oj0dN6QIMlWHh6qm?si=6a99ad1e55c045e3"
2003;"Skonto Olympic Hall";"Belgium";"Urban Trad";"Sanomi";22;2;1;3;23;142;"https://youtu.be/jFrO6QUl61k?si=5PREBgi3md1ONDHJ";"https://music.apple.com/gb/album/sanomi-eurovision-edit/1682977130?i=1682977902";"https://open.spotify.com/track/0uz28wQ7LSe4xU3CkOpFKh?si=0928c97eee2740f6"
2004;"Abdi İpekçi Arena";"Belgium";"Xandee";"1 Life";13;22;;22;;7;"https://youtu.be/w5mX3ecBtTI?si=waBsN9mbx7PpMH_t";"https://music.apple.com/gb/album/1-life/1682977130?i=1682977900";"https://open.spotify.com/track/7KC7qvWu3LrmrbuB1czpQT?si=22ad4c8e5b234324"
2005;"Palace of Sports";"Belgium";"Nuno Resende";"Le Grand Soir";;;;;;;"https://youtu.be/7-3MTt6Uatk?si=oiI0K_jb1-NlYcmm";"https://music.apple.com/gb/album/le-grand-soir/696213934?i=696214202";"https://open.spotify.com/track/5ZbT6pB7TvG2BFZ59dRtDs?si=0dfd727b31fc4495"
2006;"Olympic Indoor Hall";"Belgium";"Kate Ryan";"Je t'adore";;;;;;;"https://youtu.be/3JHnre0q3ow?si=NbdDXNfsn88b3wDV";"https://music.apple.com/gb/album/je-tadore-eurovision-mix/693610730?i=693610733";"https://open.spotify.com/track/1YuXoPqkTQOXpFJtjf5GWd?si=ec39aa925ca84c28"
2007;"Hartwall Arena";"Belgium";"The KMG's";"LovePower";;;;;;;"https://youtu.be/qUK7lx0TSAI?si=5Bh7cNveW7PcR-fX";"https://music.apple.com/gb/album/lovepower/379750950?i=379751023";"https://open.spotify.com/track/56RSLwjb8A47Z9Jk6MjLDZ?si=40dbd7a13b874062"
2008;"Belgrade Arena";"Belgium";"Ishtar";"O Julissi";;;;;;;"https://youtu.be/r2IXuAO3jHY?si=WDQWdUqsm6SDdohv";;
2009;"Olimpiysky Arena";"Belgium";"Copycat";"Copycat";;;;;;;"https://youtu.be/8qVdSbiYT8w?si=-u4QK6hF7eNcou0f";"https://music.apple.com/gb/album/copycat/306899725?i=306899733";"https://open.spotify.com/track/0mOHByNAoAstzLqBW8OkTL?si=001d43a6988c435d"
